npi,taxonomy_col,taxonomy_code,switch_col,taxonomy_switch
1700818416,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,208600000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1700818416,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,2086S0102X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1184657926,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207P00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1881627503,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,3416L0300X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1881627503,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,341600000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,Y
1467486530,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207WX0107X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1467486530,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,207W00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,Y
1235164724,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1235164724,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1235164724,HEALTHCARE_PROVIDER_TAXONOMY_CODE_3,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3,Y
1306861067,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,174400000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1083633473,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,208800000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1114947900,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207RP1001X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1114947900,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,207RC0200X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1114947900,HEALTHCARE_PROVIDER_TAXONOMY_CODE_3,207RP1001X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3,Y
1295755023,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,261QA1903X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1316968761,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207RH0003X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1154342327,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,3416L0300X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1649292954,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
