icd9,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
17360,1,0,0,0,0,0,0,0
17361,1,0,0,0,0,0,0,0
17362,1,0,0,0,0,0,0,0
17369,1,0,0,0,0,0,0,0
17370,1,0,0,0,0,0,0,0
17371,1,0,0,0,0,0,0,0
17372,1,0,0,0,0,0,0,0
17379,1,0,0,0,0,0,0,0
17380,1,0,0,0,0,0,0,0
17381,1,0,0,0,0,0,0,0
17382,1,0,0,0,0,0,0,0
17389,1,0,0,0,0,0,0,0
17390,1,0,0,0,0,0,0,0
17391,1,0,0,0,0,0,0,0
17392,1,0,0,0,0,0,0,0
17399,1,0,0,0,0,0,0,0
1830,1,0,0,0,0,0,0,0
1838,1,0,0,0,0,0,0,0
185,0,0,0,1,0,0,0,0
1992,1,0,0,0,0,0,0,0
20030,1,0,0,0,0,0,0,0
20031,1,0,0,0,0,0,0,0
20032,1,0,0,0,0,0,0,0
20033,1,0,0,0,0,0,0,0
20034,1,0,0,0,0,0,0,0
20035,1,0,0,0,0,0,0,0
20036,1,0,0,0,0,0,0,0
20037,1,0,0,0,0,0,0,0
20038,1,0,0,0,0,0,0,0
20040,1,0,0,0,0,0,0,0
20041,1,0,0,0,0,0,0,0
20042,1,0,0,0,0,0,0,0
20043,1,0,0,0,0,0,0,0
20044,1,0,0,0,0,0,0,0
20045,1,0,0,0,0,0,0,0
20046,1,0,0,0,0,0,0,0
20047,1,0,0,0,0,0,0,0
20048,1,0,0,0,0,0,0,0
20050,1,0,0,0,0,0,0,0
20051,1,0,0,0,0,0,0,0
20052,1,0,0,0,0,0,0,0
20053,1,0,0,0,0,0,0,0
20054,1,0,0,0,0,0,0,0
20055,1,0,0,0,0,0,0,0
20056,1,0,0,0,0,0,0,0
20057,1,0,0,0,0,0,0,0
20058,1,0,0,0,0,0,0,0
20060,1,0,0,0,0,0,0,0
20061,1,0,0,0,0,0,0,0
20062,1,0,0,0,0,0,0,0
20063,1,0,0,0,0,0,0,0
20064,1,0,0,0,0,0,0,0
20065,1,0,0,0,0,0,0,0
20066,1,0,0,0,0,0,0,0
20067,1,0,0,0,0,0,0,0
20068,1,0,0,0,0,0,0,0
20070,1,0,0,0,0,0,0,0
20071,1,0,0,0,0,0,0,0
20072,1,0,0,0,0,0,0,0
20073,1,0,0,0,0,0,0,0
20074,1,0,0,0,0,0,0,0
20075,1,0,0,0,0,0,0,0
20076,1,0,0,0,0,0,0,0
20077,1,0,0,0,0,0,0,0
20078,1,0,0,0,0,0,0,0
20270,1,0,0,0,0,0,0,0
20271,1,0,0,0,0,0,0,0
20272,1,0,0,0,0,0,0,0
20273,1,0,0,0,0,0,0,0
20274,1,0,0,0,0,0,0,0
20275,1,0,0,0,0,0,0,0
20276,1,0,0,0,0,0,0,0
20277,1,0,0,0,0,0,0,0
20278,1,0,0,0,0,0,0,0
20280,1,0,0,0,0,0,0,0
20302,1,0,0,0,0,0,0,0
20312,1,0,0,0,0,0,0,0
20382,1,0,0,0,0,0,0,0
20402,1,0,0,0,0,0,0,0
20412,1,0,0,0,0,0,0,0
20422,1,0,0,0,0,0,0,0
20482,1,0,0,0,0,0,0,0
20492,1,0,0,0,0,0,0,0
20502,1,0,0,0,0,0,0,0
20512,1,0,0,0,0,0,0,0
20522,1,0,0,0,0,0,0,0
20532,1,0,0,0,0,0,0,0
