icd10,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
B49,0,0,0,1,0,0,0,0
B54,1,0,0,0,0,0,0,0
B59,1,0,0,0,0,0,0,0
B6010,1,0,0,0,0,0,0,0
B6011,1,0,0,0,0,0,0,0
B6012,1,0,0,0,0,0,0,0
B6013,1,0,0,0,0,0,0,0
B6019,1,0,0,0,0,0,0,0
B602,1,0,0,0,0,0,0,0
B64,0,0,1,0,0,0,0,0
B80,0,0,0,1,0,0,0,0
B852,0,0,0,1,0,0,0,0
B853,0,0,0,1,0,0,0,0
B86,0,0,0.1818181818,0.8181818182,0,0,0,0
B889,0,0,0,1,0,0,0,0
B89,0,0,1,0,0,0,0,0
B9562,0,0,0.6666666667,0.3333333333,0,0,0,0
B9620,0,0,0.6666666667,0.3333333333,0,0,0,0
B9621,0,0,0.6666666667,0.3333333333,0,0,0,0
B9622,0,0,0.6666666667,0.3333333333,0,0,0,0
B9623,0,0,0.6666666667,0.3333333333,0,0,0,0
B9629,0,0,0.6666666667,0.3333333333,0,0,0,0
B9710,0.1008403361,0,0.4369747899,0.4621848739,0,0,0,0
B9711,0.1008403361,0,0.4369747899,0.4621848739,0,0,0,0
B9721,1,0,0,0,0,0,0,0
B999,0,0,1,0,0,0,0,0
C189,1,0,0,0,0,0,0,0
C4400,1,0,0,0,0,0,0,0
C4401,1,0,0,0,0,0,0,0
C4402,1,0,0,0,0,0,0,0
C4409,1,0,0,0,0,0,0,0
C44101,1,0,0,0,0,0,0,0
C44102,1,0,0,0,0,0,0,0
C44109,1,0,0,0,0,0,0,0
C44111,1,0,0,0,0,0,0,0
C44112,1,0,0,0,0,0,0,0
C44119,1,0,0,0,0,0,0,0
C44121,1,0,0,0,0,0,0,0
C44122,1,0,0,0,0,0,0,0
C44129,1,0,0,0,0,0,0,0
C44191,1,0,0,0,0,0,0,0
C44192,1,0,0,0,0,0,0,0
C44199,1,0,0,0,0,0,0,0
C44201,1,0,0,0,0,0,0,0
C44202,1,0,0,0,0,0,0,0
C44209,1,0,0,0,0,0,0,0
C44211,1,0,0,0,0,0,0,0
C44212,1,0,0,0,0,0,0,0
C44219,1,0,0,0,0,0,0,0
C44221,1,0,0,0,0,0,0,0
C44222,1,0,0,0,0,0,0,0
C44229,1,0,0,0,0,0,0,0
C44291,1,0,0,0,0,0,0,0
C44292,1,0,0,0,0,0,0,0
C44299,1,0,0,0,0,0,0,0
C44300,1,0,0,0,0,0,0,0
C44301,1,0,0,0,0,0,0,0
C44309,1,0,0,0,0,0,0,0
C44310,1,0,0,0,0,0,0,0
C44311,1,0,0,0,0,0,0,0
C44319,1,0,0,0,0,0,0,0
C44320,1,0,0,0,0,0,0,0
C44321,1,0,0,0,0,0,0,0
C44329,1,0,0,0,0,0,0,0
C44390,1,0,0,0,0,0,0,0
C44391,1,0,0,0,0,0,0,0
C44399,1,0,0,0,0,0,0,0
C4440,1,0,0,0,0,0,0,0
C4441,1,0,0,0,0,0,0,0
C4442,1,0,0,0,0,0,0,0
C4449,1,0,0,0,0,0,0,0
C44500,1,0,0,0,0,0,0,0
C44501,1,0,0,0,0,0,0,0
C44509,1,0,0,0,0,0,0,0
C44510,1,0,0,0,0,0,0,0
C44511,1,0,0,0,0,0,0,0
C44519,1,0,0,0,0,0,0,0
C44520,1,0,0,0,0,0,0,0
C44521,1,0,0,0,0,0,0,0
C44529,1,0,0,0,0,0,0,0
C44590,1,0,0,0,0,0,0,0
C44591,1,0,0,0,0,0,0,0
C44599,1,0,0,0,0,0,0,0
C44601,1,0,0,0,0,0,0,0
C44602,1,0,0,0,0,0,0,0
C44609,1,0,0,0,0,0,0,0
C44611,1,0,0,0,0,0,0,0
C44612,1,0,0,0,0,0,0,0
C44619,1,0,0,0,0,0,0,0
C44621,1,0,0,0,0,0,0,0
C44622,1,0,0,0,0,0,0,0
C44629,1,0,0,0,0,0,0,0
C44691,1,0,0,0,0,0,0,0
C44692,1,0,0,0,0,0,0,0
C44699,1,0,0,0,0,0,0,0
C44701,1,0,0,0,0,0,0,0
C44702,1,0,0,0,0,0,0,0
C44709,1,0,0,0,0,0,0,0
C44711,1,0,0,0,0,0,0,0
C44712,1,0,0,0,0,0,0,0
C44719,1,0,0,0,0,0,0,0
C44721,1,0,0,0,0,0,0,0
C44722,1,0,0,0,0,0,0,0
C44729,1,0,0,0,0,0,0,0
C44791,1,0,0,0,0,0,0,0
C44792,1,0,0,0,0,0,0,0
C44799,1,0,0,0,0,0,0,0
C4480,1,0,0,0,0,0,0,0
C4481,1,0,0,0,0,0,0,0
C4482,1,0,0,0,0,0,0,0
C4489,1,0,0,0,0,0,0,0
C4490,1,0,0,0,0,0,0,0
C4491,1,0,0,0,0,0,0,0
C4492,1,0,0,0,0,0,0,0
C4499,1,0,0,0,0,0,0,0
C4A0,1,0,0,0,0,0,0,0
C4A10,1,0,0,0,0,0,0,0
C4A11,1,0,0,0,0,0,0,0
C4A12,1,0,0,0,0,0,0,0
C4A20,1,0,0,0,0,0,0,0
C4A21,1,0,0,0,0,0,0,0
C4A22,1,0,0,0,0,0,0,0
C4A30,1,0,0,0,0,0,0,0
C4A31,1,0,0,0,0,0,0,0
C4A39,1,0,0,0,0,0,0,0
C4A4,1,0,0,0,0,0,0,0
C4A51,1,0,0,0,0,0,0,0
C4A52,1,0,0,0,0,0,0,0
C4A59,1,0,0,0,0,0,0,0
C4A60,1,0,0,0,0,0,0,0
C4A61,1,0,0,0,0,0,0,0
C4A62,1,0,0,0,0,0,0,0
C4A70,1,0,0,0,0,0,0,0
C4A71,1,0,0,0,0,0,0,0
C4A72,1,0,0,0,0,0,0,0
C4A8,1,0,0,0,0,0,0,0
C4A9,1,0,0,0,0,0,0,0
C561,1,0,0,0,0,0,0,0
C562,1,0,0,0,0,0,0,0
C569,1,0,0,0,0,0,0,0
C574,1,0,0,0,0,0,0,0
C61,0,0,0,1,0,0,0,0
C7A00,1,0,0,0,0,0,0,0
C7A010,1,0,0,0,0,0,0,0
C7A011,1,0,0,0,0,0,0,0
C7A012,1,0,0,0,0,0,0,0
