diagnosis_code,cms_hcc_esrd_v21,cms_hcc_esrd_v24,cms_hcc_v22,cms_hcc_v24,cms_hcc_v28,rx_hcc_v05,rx_hcc_v08
C139,11,11,11,11,21,,
C140,11,11,11,11,21,,
C142,11,11,11,11,21,,
C148,11,11,11,11,21,,
C153,9,9,9,9,20,,
C154,9,9,9,9,20,,
C155,9,9,9,9,20,,
C158,9,9,9,9,20,,
C159,9,9,9,9,20,,
C160,9,9,9,9,20,18,22
C161,9,9,9,9,20,18,22
C162,9,9,9,9,20,18,22
C163,9,9,9,9,20,18,22
C164,9,9,9,9,20,18,22
C165,9,9,9,9,20,18,22
C166,9,9,9,9,20,18,22
C168,9,9,9,9,20,18,22
C169,9,9,9,9,20,18,22
C170,9,9,9,9,20,19,22
C171,9,9,9,9,20,19,22
C172,9,9,9,9,20,19,22
C173,9,9,9,9,20,19,22
C178,9,9,9,9,20,19,22
C179,9,9,9,9,20,19,22
C180,11,11,11,11,22,,
C181,11,11,11,11,22,,
C182,11,11,11,11,22,,
C183,11,11,11,11,22,,
C184,11,11,11,11,22,,
C185,11,11,11,11,22,,
C186,11,11,11,11,22,,
C187,11,11,11,11,22,,
C188,11,11,11,11,22,,
C189,11,11,11,11,22,,
C19,11,11,11,11,22,,
C20,11,11,11,11,22,,
C210,11,11,11,11,22,,
C211,11,11,11,11,22,,
C212,11,11,11,11,22,,
C218,11,11,11,11,22,,
C220,9,9,9,9,20,17,20
C221,9,9,9,9,20,17,20
C222,9,9,9,9,20,17,20
C223,9,9,9,9,20,17,20
C224,9,9,9,9,20,17,20
C227,9,9,9,9,20,17,20
C228,9,9,9,9,20,17,20
C229,9,9,9,9,20,17,20
C23,9,9,9,9,20,19,22
C240,9,9,9,9,20,19,22
C241,9,9,9,9,20,19,22
C248,9,9,9,9,20,19,22
C249,9,9,9,9,20,19,22
C250,9,9,9,9,20,18,20
C251,9,9,9,9,20,18,20
C252,9,9,9,9,20,18,20
C253,9,9,9,9,20,18,20
C254,9,9,9,9,20,18,20
C257,9,9,9,9,20,18,20
C258,9,9,9,9,20,18,20
C259,9,9,9,9,20,18,20
C260,11,11,11,11,22,,
C261,11,11,11,11,22,,
C269,11,11,11,11,22,,
C300,11,11,11,11,21,,22
C301,11,11,11,11,21,,22
C310,11,11,11,11,21,,22
C311,11,11,11,11,21,,22
C312,11,11,11,11,21,,22
C313,11,11,11,11,21,,22
C318,11,11,11,11,21,,22
C319,11,11,11,11,21,,22
C320,11,11,11,11,21,,
C321,11,11,11,11,21,,
C322,11,11,11,11,21,,
C323,11,11,11,11,21,,
C328,11,11,11,11,21,,
C329,11,11,11,11,21,,
C33,9,9,9,9,20,18,20
C3400,9,9,9,9,20,18,20
C3401,9,9,9,9,20,18,20
C3402,9,9,9,9,20,18,20
C3410,9,9,9,9,20,18,20
C3411,9,9,9,9,20,18,20
C3412,9,9,9,9,20,18,20
C342,9,9,9,9,20,18,20
C3430,9,9,9,9,20,18,20
C3431,9,9,9,9,20,18,20
C3432,9,9,9,9,20,18,20
C3480,9,9,9,9,20,18,20
C3481,9,9,9,9,20,18,20
C3482,9,9,9,9,20,18,20
C3490,9,9,9,9,20,18,20
C3491,9,9,9,9,20,18,20
C3492,9,9,9,9,20,18,20
C37,11,11,11,11,21,,22
C380,11,11,11,11,20,,20
C381,11,11,11,11,21,,22
C382,11,11,11,11,21,,22
C383,11,11,11,11,21,,22
C384,9,9,9,9,20,18,20
C388,11,11,11,11,21,,22
C390,11,11,11,11,21,,22
C399,11,11,11,11,21,,22
C4000,10,10,10,10,21,19,22
C4001,10,10,10,10,21,19,22
C4002,10,10,10,10,21,19,22
C4010,10,10,10,10,21,19,22
C4011,10,10,10,10,21,19,22
C4012,10,10,10,10,21,19,22
C4020,10,10,10,10,21,19,22
C4021,10,10,10,10,21,19,22
C4022,10,10,10,10,21,19,22
C4030,10,10,10,10,21,19,22
C4031,10,10,10,10,21,19,22
C4032,10,10,10,10,21,19,22
C4080,10,10,10,10,21,19,22
C4081,10,10,10,10,21,19,22
C4082,10,10,10,10,21,19,22
C4090,10,10,10,10,21,19,22
C4091,10,10,10,10,21,19,22
C4092,10,10,10,10,21,19,22
C410,10,10,10,10,21,19,22
C411,10,10,10,10,21,19,22
C412,10,10,10,10,21,19,22
C413,10,10,10,10,21,19,22
C414,10,10,10,10,21,19,22
C419,10,10,10,10,21,19,22
C430,12,12,12,12,23,,22
C4310,12,12,12,12,23,,22
C43111,12,12,12,12,23,,22
C43112,12,12,12,12,23,,22
C43121,12,12,12,12,23,,22
C43122,12,12,12,12,23,,22
C4320,12,12,12,12,23,,22
C4321,12,12,12,12,23,,22
C4322,12,12,12,12,23,,22
C4330,12,12,12,12,23,,22
C4331,12,12,12,12,23,,22
C4339,12,12,12,12,23,,22
C434,12,12,12,12,23,,22
C4351,12,12,12,12,23,,22
C4352,12,12,12,12,23,,22
C4359,12,12,12,12,23,,22
C4360,12,12,12,12,23,,22
C4361,12,12,12,12,23,,22
C4362,12,12,12,12,23,,22
