diagnosis_code,cms_hcc_esrd_v21,cms_hcc_esrd_v24,cms_hcc_v22,cms_hcc_v24,cms_hcc_v28,rx_hcc_v05,rx_hcc_v08
G43819,,,,,,166,166
G43821,,,,,,166,166
G43829,,,,,,166,166
G43831,,,,,,166,166
G43839,,,,,,166,166
G43901,,,,,,166,166
G43909,,,,,,166,166
G43911,,,,,,166,166
G43919,,,,,,166,166
G43A0,,,,,,166,166
G43A1,,,,,,166,166
G43B0,,,,,,166,166
G43B1,,,,,,166,166
G43C0,,,,,,166,166
G43C1,,,,,,166,166
G43D0,,,,,,166,166
G43D1,,,,,,166,166
G450,,,,,,206,
G451,,,,,,206,
G452,,,,,,206,
G458,,,,,,206,
G459,,,,,,206,
G460,,,,,,206,
G461,,,,,,206,
G462,,,,,,206,
G463,,,,,,206,
G464,,,,,,206,
G465,,,,,,206,
G466,,,,,,206,
G467,,,,,,206,
G468,,,,,,206,
G47411,,,,,,355,355
G47419,,,,,,355,355
G47421,,,,,,355,355
G47429,,,,,,355,355
G500,,,,,,168,168
G501,,,,,,168,168
G508,,,,,,168,168
G509,,,,,,168,168
G546,189,189,189,189,409,,
G547,189,189,189,189,409,,
G600,75,,,,,,
G601,75,,,,,,
G602,75,,,,,,
G603,75,,,,,,
G608,75,,,,,,
G609,75,,,,,,
G610,75,75,75,75,,159,158
G611,75,75,75,75,,159,158
G6181,75,75,75,75,193,159,157
G6182,75,75,75,75,193,159,157
G6189,75,75,75,75,,159,158
G619,75,75,75,75,,159,158
G620,75,75,75,75,,159,158
G621,75,75,75,75,,159,158
G622,75,75,75,75,,159,158
G6281,75,75,75,75,,159,158
G6282,75,75,75,75,,159,158
G6289,75,,,,,,
G629,75,,,,,,
G63,75,75,75,75,,159,158
G64,75,,,,,,
G650,75,75,75,75,,159,158
G651,75,75,75,75,,159,158
G652,75,75,75,75,,159,158
G7000,75,75,75,75,196,156,153
G7001,75,75,75,75,195,156,153
G701,75,75,75,75,196,156,153
G702,75,75,75,75,196,156,153
G7080,75,75,75,75,196,156,153
G7081,75,75,75,75,196,156,153
G7089,75,75,75,75,196,156,153
G709,75,75,75,75,196,156,153
G7100,76,76,76,76,197,,
G7101,76,76,76,76,197,,
G7102,76,76,76,76,197,,
G71031,76,76,76,76,197,,
G71032,76,76,76,76,197,,
G71033,76,76,76,76,197,,
G710340,76,76,76,76,197,,
G710341,76,76,76,76,197,,
G710342,76,76,76,76,197,,
G710349,76,76,76,76,197,,
G71035,76,76,76,76,197,,
G71038,76,76,76,76,197,,
G71039,76,76,76,76,197,,
G7109,76,76,76,76,197,,
G7111,76,76,76,76,197,,
G7112,75,,,,,,
G7113,75,,,,,,
G7114,75,,,,,,
G7119,75,,,,,,
G7120,76,76,76,76,197,,
G7121,76,76,76,76,197,,
G71220,76,76,76,76,197,,
G71228,76,76,76,76,197,,
G7129,76,76,76,76,197,,
G713,75,,,,,,
G718,75,,,,,,
G719,75,,,,,,
G720,75,,,,,,
G721,75,,,,,,
G722,75,,,,,,
G723,75,,,,,,
G7241,75,,,,93,,
G7249,75,,,,,,
G7281,75,,,,,,
G7289,75,,,,,,
G729,75,,,,,,
G731,75,75,75,75,196,156,153
G733,75,75,75,75,196,156,153
G737,75,,,,,,
G800,74,74,74,74,191,,
G801,74,74,74,74,192,,
G802,74,74,74,74,192,,
G803,74,74,74,74,192,,
G804,74,74,74,74,192,,
G808,74,74,74,74,192,,
G809,74,74,74,74,192,,
G8100,103,103,103,103,253,,
G8101,103,103,103,103,253,,
G8102,103,103,103,103,253,,
G8103,103,103,103,103,253,,
G8104,103,103,103,103,253,,
G8110,103,103,103,103,253,207,207
G8111,103,103,103,103,253,207,207
G8112,103,103,103,103,253,207,207
G8113,103,103,103,103,253,207,207
G8114,103,103,103,103,253,207,207
G8190,103,103,103,103,253,,
G8191,103,103,103,103,253,,
G8192,103,103,103,103,253,,
G8193,103,103,103,103,253,,
G8194,103,103,103,103,253,,
G8220,71,71,71,71,181,,
G8221,71,71,71,71,181,,
G8222,71,71,71,71,181,,
G8250,70,70,70,70,180,,
G8251,70,70,70,70,180,,
G8252,70,70,70,70,180,,
G8253,70,70,70,70,180,,
G8254,70,70,70,70,180,,
G830,104,104,104,104,254,,
G8310,104,104,104,104,254,,
G8311,104,104,104,104,254,,
G8312,104,104,104,104,254,,
G8313,104,104,104,104,254,,
G8314,104,104,104,104,254,,
G8320,104,104,104,104,254,,
G8321,104,104,104,104,254,,
G8322,104,104,104,104,254,,
G8323,104,104,104,104,254,,
G8324,104,104,104,104,254,,
G8330,104,104,104,104,254,,
G8331,104,104,104,104,254,,
G8332,104,104,104,104,254,,
G8333,104,104,104,104,254,,
G8334,104,104,104,104,254,,
G834,72,72,72,72,182,157,155
G835,104,104,104,104,254,,
G8381,104,104,104,104,254,,
G8382,104,104,104,104,254,,
G8383,104,104,104,104,254,,
G8384,104,104,104,104,254,,
G8389,104,104,104,104,254,,
G839,104,104,104,104,254,,
G9001,75,,,,,,
G9009,75,,,,,,
G901,72,72,72,72,182,157,155
G902,75,,,,,,
G903,78,78,78,78,199,,161
G904,75,,,,,,
G9050,75,,,,,,
G90511,75,,,,,,
G90512,75,,,,,,
G90513,75,,,,,,
G90519,75,,,,,,
G90521,75,,,,,,
G90522,75,,,,,,
G90523,75,,,,,,
G90529,75,,,,,,
G9059,75,,,,,,
G908,75,,,,,,
G909,75,,,,,,
G910,51,51,,51,127,,
G911,51,51,,51,127,,
G912,51,51,,51,127,,
G913,51,51,,51,127,,
G914,51,51,,51,127,,
G918,51,51,,51,127,,
G919,51,51,,51,127,,
G931,80,80,80,80,202,,
G935,80,80,80,80,202,,
G936,80,80,80,80,202,,
G937,52,52,,52,127,112,112
G950,72,72,72,72,182,157,155
G9511,72,72,72,72,182,157,155
G9519,72,72,72,72,182,157,155
G9520,72,72,72,72,182,157,155
G9529,72,72,72,72,182,157,155
G9581,72,72,72,72,182,157,155
G9589,72,72,72,72,182,157,155
G959,72,72,72,72,182,157,155
G990,75,,,,,,
G992,72,72,72,72,182,157,155
H01121,,,,,,,317
H01122,,,,,,,317
H01123,,,,,,,317
H01124,,,,,,,317
H01125,,,,,,,317
H01126,,,,,,,317
H01129,,,,,,,317
H348110,,,,,298,,
H348111,,,,,298,,
H348112,,,,,298,,
H348120,,,,,298,,
H348121,,,,,298,,
H348122,,,,,298,,
H348130,,,,,298,,
H348131,,,,,298,,
H348132,,,,,298,,
H348190,,,,,298,,
H348191,,,,,298,,
H348192,,,,,298,,
H348310,,,,,298,,
H348311,,,,,298,,
H348312,,,,,298,,
H348320,,,,,298,,
H348321,,,,,298,,
H348322,,,,,298,,
H348330,,,,,298,,
H348331,,,,,298,,
H348332,,,,,298,,
H348390,,,,,298,,
H348391,,,,,298,,
H348392,,,,,298,,
H353210,124,124,124,124,300,,
H353211,124,124,124,124,300,,
H353212,124,124,124,124,300,,
H353213,124,124,124,124,300,,
H353220,124,124,124,124,300,,
H353221,124,124,124,124,300,,
H353222,124,124,124,124,300,,
H353223,124,124,124,124,300,,
H353230,124,124,124,124,300,,
H353231,124,124,124,124,300,,
H353232,124,124,124,124,300,,
H353233,124,124,124,124,300,,
H353290,124,124,124,124,300,,
H353291,124,124,124,124,300,,
H353292,124,124,124,124,300,,
H353293,124,124,124,124,300,,
H4010X0,,,,,,243,243
H4010X0,,,,,,,244
H4010X1,,,,,,243,243
H4010X1,,,,,,,244
H4010X2,,,,,,243,243
H4010X3,,,,,,243,243
H4010X4,,,,,,243,243
H4010X4,,,,,,,244
H401110,,,,,,243,243
H401110,,,,,,,244
H401111,,,,,,243,243
H401111,,,,,,,244
H401112,,,,,,243,243
H401113,,,,,,243,243
H401114,,,,,,243,243
H401114,,,,,,,244
H401120,,,,,,243,243
H401120,,,,,,,244
H401121,,,,,,243,243
H401121,,,,,,,244
H401122,,,,,,243,243
H401123,,,,,,243,243
H401124,,,,,,243,243
H401124,,,,,,,244
H401130,,,,,,243,243
H401130,,,,,,,244
H401131,,,,,,243,243
H401131,,,,,,,244
H401132,,,,,,243,243
H401133,,,,,,243,243
H401134,,,,,,243,243
H401134,,,,,,,244
H401190,,,,,,243,243
H401190,,,,,,,244
H401191,,,,,,243,243
H401191,,,,,,,244
H401192,,,,,,243,243
H401193,,,,,,243,243
H401194,,,,,,243,243
H401194,,,,,,,244
H401210,,,,,,243,243
H401210,,,,,,,244
H401211,,,,,,243,243
H401211,,,,,,,244
H401212,,,,,,243,243
H401213,,,,,,243,243
H401214,,,,,,243,243
H401214,,,,,,,244
H401220,,,,,,243,243
H401220,,,,,,,244
H401221,,,,,,243,243
H401221,,,,,,,244
H401222,,,,,,243,243
H401223,,,,,,243,243
H401224,,,,,,243,243
H401224,,,,,,,244
H401230,,,,,,243,243
H401230,,,,,,,244
H401231,,,,,,243,243
H401231,,,,,,,244
H401232,,,,,,243,243
H401233,,,,,,243,243
H401234,,,,,,243,243
H401234,,,,,,,244
H401290,,,,,,243,243
H401290,,,,,,,244
H401291,,,,,,243,243
H401291,,,,,,,244
H401292,,,,,,243,243
H401293,,,,,,243,243
H401294,,,,,,243,243
H401294,,,,,,,244
H401310,,,,,,243,243
H401310,,,,,,,244
H401311,,,,,,243,243
H401311,,,,,,,244
H401312,,,,,,243,243
H401313,,,,,,243,243
H401314,,,,,,243,243
H401314,,,,,,,244
H401320,,,,,,243,243
H401320,,,,,,,244
H401321,,,,,,243,243
H401321,,,,,,,244
H401322,,,,,,243,243
H401323,,,,,,243,243
H401324,,,,,,243,243
H401324,,,,,,,244
H401330,,,,,,243,243
H401330,,,,,,,244
H401331,,,,,,243,243
H401331,,,,,,,244
H401332,,,,,,243,243
H401333,,,,,,243,243
H401334,,,,,,243,243
H401334,,,,,,,244
H401390,,,,,,243,243
H401390,,,,,,,244
H401391,,,,,,243,243
H401391,,,,,,,244
H401392,,,,,,243,243
H401393,,,,,,243,243
H401394,,,,,,243,243
H401394,,,,,,,244
H401410,,,,,,,243
H401410,,,,,,,244
H401411,,,,,,,243
H401411,,,,,,,244
H401412,,,,,,,243
H401413,,,,,,,243
H401414,,,,,,,243
H401414,,,,,,,244
H401420,,,,,,,243
H401420,,,,,,,244
H401421,,,,,,,243
H401421,,,,,,,244
H401422,,,,,,,243
H401423,,,,,,,243
H401424,,,,,,,243
H401424,,,,,,,244
H401430,,,,,,,243
H401430,,,,,,,244
H401431,,,,,,,243
H401431,,,,,,,244
H401432,,,,,,,243
H401433,,,,,,,243
H401434,,,,,,,243
H401434,,,,,,,244
H401490,,,,,,,243
H401490,,,,,,,244
H401491,,,,,,,243
H401491,,,,,,,244
H401492,,,,,,,243
H401493,,,,,,,243
H401494,,,,,,,243
H401494,,,,,,,244
H40151,,,,,,243,243
H40152,,,,,,243,243
H40153,,,,,,243,243
H40159,,,,,,243,243
H4020X0,,,,,,,244
H4020X1,,,,,,,244
H4020X2,,,,,,,243
H4020X2,,,,,,,244
H4020X3,,,,,,,243
H4020X3,,,,,,,244
H4020X4,,,,,,,244
H402210,,,,,,,244
H402211,,,,,,,244
H402212,,,,,,,243
H402212,,,,,,,244
H402213,,,,,,,243
H402213,,,,,,,244
H402214,,,,,,,244
H402220,,,,,,,244
H402221,,,,,,,244
H402222,,,,,,,243
H402222,,,,,,,244
H402223,,,,,,,243
H402223,,,,,,,244
H402224,,,,,,,244
H402230,,,,,,,244
H402231,,,,,,,244
H402232,,,,,,,243
H402232,,,,,,,244
H402233,,,,,,,243
H402233,,,,,,,244
H402234,,,,,,,244
H402290,,,,,,,244
H402291,,,,,,,244
H402292,,,,,,,243
H402292,,,,,,,244
H402293,,,,,,,243
H402293,,,,,,,244
H402294,,,,,,,244
H40231,,,,,,,244
H40232,,,,,,,244
H40233,,,,,,,244
H40239,,,,,,,244
H40241,,,,,,,244
H40242,,,,,,,244
H40243,,,,,,,244
H40249,,,,,,,244
H4030X0,,,,,,,244
H4030X1,,,,,,,244
H4030X2,,,,,,,243
H4030X2,,,,,,,244
H4030X3,,,,,,,243
H4030X3,,,,,,,244
H4030X4,,,,,,,244
H4031X0,,,,,,,244
H4031X1,,,,,,,244
H4031X2,,,,,,,243
H4031X2,,,,,,,244
H4031X3,,,,,,,243
H4031X3,,,,,,,244
H4031X4,,,,,,,244
H4032X0,,,,,,,244
H4032X1,,,,,,,244
H4032X2,,,,,,,243
H4032X2,,,,,,,244
H4032X3,,,,,,,243
H4032X3,,,,,,,244
H4032X4,,,,,,,244
H4033X0,,,,,,,244
H4033X1,,,,,,,244
H4033X2,,,,,,,243
H4033X2,,,,,,,244
H4033X3,,,,,,,243
H4033X3,,,,,,,244
H4033X4,,,,,,,244
H4040X0,,,,,,,244
H4040X1,,,,,,,244
H4040X2,,,,,,,243
H4040X2,,,,,,,244
H4040X3,,,,,,,243
H4040X3,,,,,,,244
H4040X4,,,,,,,244
H4041X0,,,,,,,244
H4041X1,,,,,,,244
H4041X2,,,,,,,243
H4041X2,,,,,,,244
H4041X3,,,,,,,243
H4041X3,,,,,,,244
H4041X4,,,,,,,244
H4042X0,,,,,,,244
H4042X1,,,,,,,244
H4042X2,,,,,,,243
H4042X2,,,,,,,244
H4042X3,,,,,,,243
H4042X3,,,,,,,244
H4042X4,,,,,,,244
H4043X0,,,,,,,244
H4043X1,,,,,,,244
H4043X2,,,,,,,243
H4043X2,,,,,,,244
H4043X3,,,,,,,243
H4043X3,,,,,,,244
H4043X4,,,,,,,244
H4050X0,,,,,,,244
H4050X1,,,,,,,244
H4050X2,,,,,,,243
H4050X2,,,,,,,244
H4050X3,,,,,,,243
H4050X3,,,,,,,244
H4050X4,,,,,,,244
H4051X0,,,,,,,244
H4051X1,,,,,,,244
H4051X2,,,,,,,243
H4051X2,,,,,,,244
H4051X3,,,,,,,243
H4051X3,,,,,,,244
H4051X4,,,,,,,244
H4052X0,,,,,,,244
H4052X1,,,,,,,244
H4052X2,,,,,,,243
H4052X2,,,,,,,244
H4052X3,,,,,,,243
H4052X3,,,,,,,244
H4052X4,,,,,,,244
H4053X0,,,,,,,244
H4053X1,,,,,,,244
H4053X2,,,,,,,243
H4053X2,,,,,,,244
H4053X3,,,,,,,243
H4053X3,,,,,,,244
H4053X4,,,,,,,244
H4060X0,,,,,,,244
H4060X1,,,,,,,244
H4060X2,,,,,,,243
H4060X2,,,,,,,244
H4060X3,,,,,,,243
H4060X3,,,,,,,244
H4060X4,,,,,,,244
H4061X0,,,,,,,244
H4061X1,,,,,,,244
H4061X2,,,,,,,243
H4061X2,,,,,,,244
H4061X3,,,,,,,243
H4061X3,,,,,,,244
H4061X4,,,,,,,244
H4062X0,,,,,,,244
H4062X1,,,,,,,244
H4062X2,,,,,,,243
H4062X2,,,,,,,244
H4062X3,,,,,,,243
H4062X3,,,,,,,244
H4062X4,,,,,,,244
H4063X0,,,,,,,244
H4063X1,,,,,,,244
H4063X2,,,,,,,243
H4063X2,,,,,,,244
H4063X3,,,,,,,243
H4063X3,,,,,,,244
H4063X4,,,,,,,244
H40811,,,,,,,244
H40812,,,,,,,244
H40813,,,,,,,244
H40819,,,,,,,244
H40821,,,,,,,244
H40822,,,,,,,244
H40823,,,,,,,244
H40829,,,,,,,244
H40831,,,,,,,244
H40832,,,,,,,244
H40833,,,,,,,244
H40839,,,,,,,244
H4089,,,,,,,244
H409,,,,,,,244
H42,,,,,,,244
H4310,122,122,122,122,298,,
H4311,122,122,122,122,298,,
H4312,122,122,122,122,298,,
H4313,122,122,122,122,298,,
H49811,23,23,23,23,,41,43
H49812,23,23,23,23,,41,43
H49813,23,23,23,23,,41,43
H49819,23,23,23,23,,41,43
I0981,85,85,85,85,226,186,186
I10,,,,,,187,187
I110,85,85,85,85,226,186,186
I119,,,,,,187,187
I120,136,136,136,136,326,187,187
I120,,,,,,262,262
I129,139,,,,,187,187
I130,85,85,85,85,226,186,186
I130,139,,,,,,
I1310,139,,,,,187,187
I1311,136,136,136,136,326,187,187
I1311,,,,,,262,262
I132,85,85,85,85,226,186,186
I132,136,136,136,136,326,262,262
I150,,,,,,187,187
I151,,,,,,187,187
I152,,,,,,187,187
I158,,,,,,187,187
I159,,,,,,187,187
I160,,,,,,187,187
I161,,,,,,187,187
I169,,,,,,187,187
I200,87,87,87,87,229,188,188
I201,88,88,88,88,,188,188
I202,88,88,88,88,,188,188
I208,88,88,88,88,,188,188
I209,88,88,88,88,,188,188
I2101,86,86,86,86,228,188,188
I2102,86,86,86,86,228,188,188
I2109,86,86,86,86,228,188,188
I2111,86,86,86,86,228,188,188
I2119,86,86,86,86,228,188,188
I2121,86,86,86,86,228,188,188
I2129,86,86,86,86,228,188,188
I213,86,86,86,86,228,188,188
I214,86,86,86,86,228,188,188
I219,86,86,86,86,228,188,188
I21A1,86,86,86,86,228,188,188
I21A9,86,86,86,86,228,188,188
I220,86,86,86,86,228,188,188
I221,86,86,86,86,228,188,188
I222,86,86,86,86,228,188,188
I228,86,86,86,86,228,188,188
I229,86,86,86,86,228,188,188
I230,87,87,87,87,229,188,188
I231,87,87,87,87,229,188,188
I232,87,87,87,87,229,188,188
I233,87,87,87,87,229,188,188
I234,86,86,86,86,229,188,188
I235,86,86,86,86,229,188,188
I236,87,87,87,87,229,188,188
I237,87,87,87,87,229,188,188
I238,87,87,87,87,229,188,188
I240,87,87,87,87,229,188,188
I241,87,87,87,87,229,188,188
I248,87,87,87,87,229,188,188
I249,87,87,87,87,229,188,188
I2510,,,,,,188,188
I25110,87,87,87,87,229,188,188
I25111,88,88,88,88,,188,188
I25112,88,88,88,88,,188,188
I25118,88,88,88,88,,188,188
I25119,88,88,88,88,,188,188
I252,,,,,,188,188
I253,,,,,,188,188
I2541,,,,,,188,188
I2542,,,,,,188,188
I255,,,,,,188,188
I256,,,,,,188,188
I25700,87,87,87,87,229,188,188
I25701,88,88,88,88,,188,188
I25702,88,88,88,88,,188,188
I25708,88,88,88,88,,188,188
I25709,88,88,88,88,,188,188
I25710,87,87,87,87,229,188,188
I25711,88,88,88,88,,188,188
I25712,88,88,88,88,,188,188
I25718,88,88,88,88,,188,188
I25719,88,88,88,88,,188,188
I25720,87,87,87,87,229,188,188
I25721,88,88,88,88,,188,188
I25722,88,88,88,88,,188,188
I25728,88,88,88,88,,188,188
I25729,88,88,88,88,,188,188
I25730,87,87,87,87,229,188,188
I25731,88,88,88,88,,188,188
I25732,88,88,88,88,,188,188
I25738,88,88,88,88,,188,188
I25739,88,88,88,88,,188,188
I25750,87,87,87,87,229,188,188
I25751,88,88,88,88,,188,188
I25752,88,88,88,88,,188,188
I25758,88,88,88,88,,188,188
I25759,88,88,88,88,,188,188
I25760,87,87,87,87,229,188,188
I25761,88,88,88,88,,188,188
I25762,88,88,88,88,,188,188
I25768,88,88,88,88,,188,188
I25769,88,88,88,88,,188,188
I25790,87,87,87,87,229,188,188
I25791,88,88,88,88,,188,188
I25792,88,88,88,88,,188,188
I25798,88,88,88,88,,188,188
I25799,88,88,88,88,,188,188
I25810,,,,,,188,188
I25811,,,,,,188,188
I25812,,,,,,188,188
I2582,,,,,,188,188
I2583,,,,,,188,188
I2584,,,,,,188,188
I2589,,,,,,188,188
I259,,,,,,188,188
I2601,85,85,85,85,267,186,186
I2601,107,107,107,107,,215,215
I2602,85,85,85,85,267,186,186
I2602,107,107,107,107,,215,215
I2609,85,85,85,85,267,186,186
I2609,107,107,107,107,,215,215
I2690,107,107,107,107,267,215,215
I2692,107,107,107,107,267,215,215
I2693,107,107,107,107,267,215,215
I2694,107,107,107,107,267,215,215
I2699,107,107,107,107,267,215,215
I270,85,85,85,85,226,185,183
I271,85,85,85,85,226,186,184
I2720,85,85,85,85,226,186,184
I2721,85,85,85,85,226,186,183
I2722,85,85,85,85,226,186,184
I2723,85,85,85,85,226,186,184
I2724,85,85,85,85,226,186,184
I2729,85,85,85,85,226,186,184
I2781,85,85,85,85,226,186,184
I2782,107,107,107,107,267,215,184
I2783,85,85,85,85,226,185,183
I2789,85,85,85,85,226,186,184
I279,85,85,85,85,226,186,184
I280,85,85,85,85,226,186,184
I281,85,85,85,85,226,186,184
I288,85,85,85,85,226,186,184
I289,85,85,85,85,226,186,184
I3131,,,,,17,,
I420,85,85,85,85,227,186,186
I421,85,85,85,85,227,186,186
I422,85,85,85,85,227,186,186
I423,85,85,85,85,227,186,186
I424,85,85,85,85,227,186,186
I425,85,85,85,85,227,186,186
I426,85,85,85,85,227,186,186
I427,85,85,85,85,,186,186
I428,85,85,85,85,227,186,186
I429,85,85,85,85,227,186,186
I43,85,85,85,85,227,186,186
I442,96,96,96,96,238,,
I462,84,84,84,84,213,,
I468,84,84,84,84,213,,
I469,84,84,84,84,213,,
I470,96,96,96,96,238,,
I471,96,96,96,96,,193,193
I472,96,96,96,96,238,,
I4720,96,96,96,96,238,,
I4721,96,96,96,96,238,,
I4729,96,96,96,96,238,,
I479,96,96,96,96,238,193,193
I480,96,96,96,96,238,193,193
I4811,96,96,96,96,238,193,193
I4819,96,96,96,96,238,193,193
I4820,96,96,96,96,238,193,193
I4821,96,96,96,96,238,193,193
I483,96,96,96,96,238,193,193
I484,96,96,96,96,238,193,193
I4891,96,96,96,96,238,193,193
I4892,96,96,96,96,238,193,193
I4901,84,84,84,84,213,,
I4902,84,84,84,84,213,,
I492,96,96,96,96,238,193,193
I495,96,96,96,96,238,,
I501,85,85,85,85,226,186,186
I5020,85,85,85,85,226,186,186
I5021,85,85,85,85,225,186,186
I5022,85,85,85,85,226,186,186
I5023,85,85,85,85,224,186,186
I5030,85,85,85,85,226,186,186
I5031,85,85,85,85,225,186,186
I5032,85,85,85,85,226,186,186
I5033,85,85,85,85,224,186,186
I5040,85,85,85,85,226,186,186
I5041,85,85,85,85,225,186,186
I5042,85,85,85,85,226,186,186
I5043,85,85,85,85,224,186,186
I50810,85,85,85,85,226,186,186
I50811,85,85,85,85,225,186,186
I50812,85,85,85,85,226,186,186
I50813,85,85,85,85,225,186,186
I50814,85,85,85,85,226,186,186
I5082,85,85,85,85,226,186,186
I5083,85,85,85,85,226,186,186
I5084,85,85,85,85,222,186,186
I5089,85,85,85,85,226,186,186
I509,85,85,85,85,226,186,186
I511,86,86,86,86,229,188,188
I512,86,86,86,86,229,188,188
I514,85,85,85,85,227,186,186
I515,85,85,85,85,227,186,186
I6000,99,99,99,99,248,,
I6001,99,99,99,99,248,,
I6002,99,99,99,99,248,,
I6010,99,99,99,99,248,,
I6011,99,99,99,99,248,,
I6012,99,99,99,99,248,,
I602,99,99,99,99,248,,
I6030,99,99,99,99,248,,
I6031,99,99,99,99,248,,
I6032,99,99,99,99,248,,
I604,99,99,99,99,248,,
I6050,99,99,99,99,248,,
I6051,99,99,99,99,248,,
I6052,99,99,99,99,248,,
I606,99,99,99,99,248,,
I607,99,99,99,99,248,,
I608,99,99,99,99,248,,
I609,99,99,99,99,248,,
I610,99,99,99,99,248,,
I611,99,99,99,99,248,,
I612,99,99,99,99,248,,
I613,99,99,99,99,248,,
I614,99,99,99,99,248,,
I615,99,99,99,99,248,,
I616,99,99,99,99,248,,
I618,99,99,99,99,248,,
I619,99,99,99,99,248,,
I6200,99,99,99,99,248,,
I6201,99,99,99,99,248,,
I6202,99,99,99,99,248,,
I6203,99,99,99,99,248,,
I621,99,99,99,99,248,,
I629,99,99,99,99,248,,
I6300,100,100,100,100,249,206,
I63011,100,100,100,100,249,206,
I63012,100,100,100,100,249,206,
I63013,100,100,100,100,249,206,
I63019,100,100,100,100,249,206,
I6302,100,100,100,100,249,206,
I63031,100,100,100,100,249,206,
I63032,100,100,100,100,249,206,
I63033,100,100,100,100,249,206,
I63039,100,100,100,100,249,206,
I6309,100,100,100,100,249,206,
I6310,100,100,100,100,249,206,
I63111,100,100,100,100,249,206,
I63112,100,100,100,100,249,206,
I63113,100,100,100,100,249,206,
I63119,100,100,100,100,249,206,
I6312,100,100,100,100,249,206,
I63131,100,100,100,100,249,206,
I63132,100,100,100,100,249,206,
I63133,100,100,100,100,249,206,
I63139,100,100,100,100,249,206,
I6319,100,100,100,100,249,206,
I6320,100,100,100,100,249,206,
I63211,100,100,100,100,249,206,
I63212,100,100,100,100,249,206,
I63213,100,100,100,100,249,206,
I63219,100,100,100,100,249,206,
I6322,100,100,100,100,249,206,
I63231,100,100,100,100,249,206,
I63232,100,100,100,100,249,206,
I63233,100,100,100,100,249,206,
I63239,100,100,100,100,249,206,
I6329,100,100,100,100,249,206,
I6330,100,100,100,100,249,206,
I63311,100,100,100,100,249,206,
I63312,100,100,100,100,249,206,
I63313,100,100,100,100,249,206,
I63319,100,100,100,100,249,206,
I63321,100,100,100,100,249,206,
I63322,100,100,100,100,249,206,
I63323,100,100,100,100,249,206,
I63329,100,100,100,100,249,206,
I63331,100,100,100,100,249,206,
I63332,100,100,100,100,249,206,
I63333,100,100,100,100,249,206,
I63339,100,100,100,100,249,206,
I63341,100,100,100,100,249,206,
I63342,100,100,100,100,249,206,
I63343,100,100,100,100,249,206,
I63349,100,100,100,100,249,206,
I6339,100,100,100,100,249,206,
I6340,100,100,100,100,249,206,
I63411,100,100,100,100,249,206,
I63412,100,100,100,100,249,206,
I63413,100,100,100,100,249,206,
I63419,100,100,100,100,249,206,
I63421,100,100,100,100,249,206,
I63422,100,100,100,100,249,206,
I63423,100,100,100,100,249,206,
I63429,100,100,100,100,249,206,
I63431,100,100,100,100,249,206,
I63432,100,100,100,100,249,206,
I63433,100,100,100,100,249,206,
I63439,100,100,100,100,249,206,
I63441,100,100,100,100,249,206,
I63442,100,100,100,100,249,206,
I63443,100,100,100,100,249,206,
I63449,100,100,100,100,249,206,
I6349,100,100,100,100,249,206,
I6350,100,100,100,100,249,206,
I63511,100,100,100,100,249,206,
I63512,100,100,100,100,249,206,
I63513,100,100,100,100,249,206,
I63519,100,100,100,100,249,206,
I63521,100,100,100,100,249,206,
I63522,100,100,100,100,249,206,
I63523,100,100,100,100,249,206,
I63529,100,100,100,100,249,206,
I63531,100,100,100,100,249,206,
I63532,100,100,100,100,249,206,
I63533,100,100,100,100,249,206,
I63539,100,100,100,100,249,206,
I63541,100,100,100,100,249,206,
I63542,100,100,100,100,249,206,
I63543,100,100,100,100,249,206,
I63549,100,100,100,100,249,206,
I6359,100,100,100,100,249,206,
I636,100,100,100,100,249,206,
I6381,100,100,100,100,249,206,
I6389,100,100,100,100,249,206,
I639,100,100,100,100,249,206,
I6501,,,,,,206,
I6502,,,,,,206,
I6503,,,,,,206,
I6509,,,,,,206,
I651,,,,,,206,
I6521,,,,,,206,
I6522,,,,,,206,
I6523,,,,,,206,
I6529,,,,,,206,
I658,,,,,,206,
I659,,,,,,206,
I6601,,,,,,206,
I6602,,,,,,206,
I6603,,,,,,206,
I6609,,,,,,206,
I6611,,,,,,206,
I6612,,,,,,206,
I6613,,,,,,206,
I6619,,,,,,206,
I6621,,,,,,206,
I6622,,,,,,206,
I6623,,,,,,206,
I6629,,,,,,206,
I663,,,,,,206,
I668,,,,,,206,
I669,,,,,,206,
I670,107,107,107,107,,,
I672,,,,,,206,
I673,52,52,,52,127,112,112
I674,,,,,,187,187
I675,,,,,,206,
I676,,,,,,206,
I677,,,,,,206,
I6781,,,,,,206,
I6782,,,,,,206,
I67841,,,,,,206,
I67848,,,,,,206,
I67850,,,,,,206,
I67858,,,,,,206,
I6789,,,,,,206,
I679,,,,,,206,
I680,,,,,,206,
I682,,,,,,206,
I688,,,,,,206,
I69031,104,104,104,104,254,,
I69032,104,104,104,104,254,,
I69033,104,104,104,104,254,,
I69034,104,104,104,104,254,,
I69039,104,104,104,104,254,,
I69041,104,104,104,104,254,,
I69042,104,104,104,104,254,,
I69043,104,104,104,104,254,,
I69044,104,104,104,104,254,,
I69049,104,104,104,104,254,,
I69051,103,103,103,103,253,,
I69052,103,103,103,103,253,,
I69053,103,103,103,103,253,,
